,Ref Des,Mid X (mm),Mid Y(mm),Rotation,Comment,Package
0,BOOT_BUTTON,48.95,76.85,180.0,BUTTON_CUSYOMV1,MYBUTTON
1,C1,122.08,32.44,0.0,100nF,EAGLE-LTSPICE_C0402
2,C10,68.31,76.9,270.0,100nF,EAGLE-LTSPICE_C0402
3,C10_SUPERCAP,88.82,23.64,0.0,CPH3225A,CAPCP3225X100N
4,C1_BAT,114.83,-20.63,0.0,4.7uF,EAGLE-LTSPICE_C0402
5,C1_BAT1,125.07,1.33,180.0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
6,C1_BAT2,124.21,8.47,270.0,4.7uF,EAGLE-LTSPICE_C0402
7,C2,122.08,29.5,0.0,100nF,EAGLE-LTSPICE_C0402
8,C2_BAT,122.27,-17.53,180.0,4.7uF,EAGLE-LTSPICE_C0402
9,C3,119.82,7.12,270.0,100uF,RCL_CT3528
10,C4,89.43,8.79,270.0,4.7uF/25V,EAGLE-LTSPICE_C0402
11,C4_USB,142.15,-25.36,270.0,100nF,EAGLE-LTSPICE_C0402
12,C5,27.47,76.71,270.0,1uF,EAGLE-LTSPICE_C0402
13,C5_USB,161.15,-25.23,90.0,4.7uF,EAGLE-LTSPICE_C0402
14,C6,53.33,76.8,270.0,100nF,EAGLE-LTSPICE_C0402
15,C7,93.18,14.49,90.0,10uF,EAGLE-LTSPICE_C0402
16,C8,89.1,19.86,180.0,100nF,EAGLE-LTSPICE_C0402
17,C9,5.03,68.52,270.0,100nF,EAGLE-LTSPICE_C0402
18,CHANGE_BUTTON,63.91,76.83,180.0,BUTTON_CUSYOMV1,MYBUTTON
19,CHG_LED,107.37,-11.79,90.0,,ADAFRUIT_CHIP-LED0603
20,C_DELAY,53.23,68.22,90.0,100nF,EAGLE-LTSPICE_C0402
21,D1,151.03,-21.25,270.0,USBLC6-2SC6Y,SOT95P280X145-6N
22,D10,100.91,-1.1,0.0,PGB1010603MR,DIOC1608X36N
23,D11,100.91,-3.64,0.0,PGB1010603MR,DIOC1608X36N
24,D12,100.91,-6.18,0.0,PGB1010603MR,DIOC1608X36N
25,D2,135.7,-16.13,270.0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
26,D3,81.31,12.1,0.0,MBR0530,SOD3716X135N
27,D4,81.41,6.59,180.0,MBR0530,SOD3716X135N
28,D5,81.41,1.51,0.0,MBR0530,SOD3716X135N
29,D6,100.91,6.52,0.0,PGB1010603MR,DIOC1608X36N
30,D7,78.55,32.32,270.0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
31,D8,100.91,3.98,0.0,PGB1010603MR,DIOC1608X36N
32,D9,100.91,1.44,0.0,PGB1010603MR,DIOC1608X36N
33,EPD_C1,88.78,-9.03,270.0,1uF/50V,EAGLE-LTSPICE_C0402
34,EPD_C10,78.99,-9.07,90.0,1uF/50V,EAGLE-LTSPICE_C0402
35,EPD_C11,82.62,-17.91,270.0,1uF/50V,EAGLE-LTSPICE_C0402
36,EPD_C12,86.23,-17.91,270.0,1uF/50V,EAGLE-LTSPICE_C0402
37,EPD_C2,85.73,-9.03,270.0,1uF/50V,EAGLE-LTSPICE_C0402
38,EPD_C5,78.9,-18.11,270.0,1uF/50V,EAGLE-LTSPICE_C0402
39,EPD_C6,89.98,-18.07,90.0,1uF/50V,EAGLE-LTSPICE_C0402
40,EPD_C7,75.81,-18.05,270.0,1uF/50V,EAGLE-LTSPICE_C0402
41,EPD_C8,82.13,-9.03,270.0,1uF/50V,EAGLE-LTSPICE_C0402
42,EPD_C9,75.84,-9.07,90.0,1uF/50V,EAGLE-LTSPICE_C0402
43,IC1,49.52,68.57,180.0,BD5229G-TR,SOT95P280X125-5N
44,IC4,127.91,8.19,0.0,XC6220A331MR-G,SOT95P280X120-5N
45,J1,83.4,-13.62,0.0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
46,J2,165.04,23.09,90.0,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
47,J3,167.08,-12.01,90.0,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
48,J4,8.35,56.58,270.0,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
49,L1,73.21,10.95,0.0,68uH,IND_4828-WE-TPC_WRE
50,MCP73831,110.72,-16.5,0.0,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
51,PFMF.050.1,155.05,-24.59,270.0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
52,Q1,130.64,-17.52,90.0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
